Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:04:53.894,d3:c7:8d:a5:a9:b5, 2015-01-01 00:05:34.705, -0.046, 0.013, 0.987, -1.526, 0.488, -0.244, 0.659, 2.802, -94.532, -42.042, -3.724, -23.422, 23.43, 0.67844, 0.02347, 0.01172, -0.7341,
 15:04:53.896,d3:c7:8d:a5:a9:b5, 2015-01-01 00:05:34.705, -0.046, 0.012, 0.987, -1.587, 0.488, -0.183, 0.648, 2.807, -94.532, -42.042, -3.724, -23.422, 23.43, 0.67844, 0.02347, 0.01172, -0.7341,
 15:04:53.896,d3:c7:8d:a5:a9:b5, 2015-01-01 00:05:34.705, -0.048, 0.012, 0.987, -1.587, 0.488, -0.183, 0.632, 2.812, -94.532, -42.042, -3.724, -23.422, 23.43, 0.67844, 0.02347, 0.01172, -0.7341,
 15:04:53.896,d3:c7:8d:a5:a9:b5, 2015-01-01 00:05:34.705, -0.048, 0.01, 0.987, -1.587, 0.61, -0.122, 0.615, 2.818, -94.532, -42.042, -3.724, -23.422, 23.43, 0.67844, 0.02347, 0.01172, -0.7341,
 15:04:53.953,d3:c7:8d:a5:a9:b5, 2015-01-01 00:05:34.705, -0.048, 0.01, 0.987, -1.587, 0.61, -0.122, 0.599, 2.823, -94.532, -42.042, -3.724, -23.422, 23.43, 0.67844, 0.02347, 0.01172, -0.7341,
 15:04:53.953,d3:c7:8d:a5:a9:b5, 2015-01-01 00:05:34.705, -0.048, 0.008, 0.985, -1.221, 0.427, -0.061, 0.588, 2.823, -94.532, -42.042, -3.724, -23.422, 23.43, 0.67844, 0.02347, 0.01172, -0.7341,
 15:04:53.953,d3:c7:8d:a5:a9:b5, 2015-01-01 00:05:34.705, -0.047, 0.008, 0.985, -1.221, 0.427, -0.061, 0.577, 2.829, -94.532, -42.042, -3.724, -23.422, 23.43, 0.67844, 0.02347, 0.01172, -0.7341,
 15:04:53.953,d3:c7:8d:a5:a9:b5, 2015-01-01 00:05:34.705, -0.047, 0.01, 0.989, -0.916, 0.427, -0.061, 0.571, 2.834, -94.532, -42.042, -3.724, -23.422, 23.43, 0.67844, 0.02347, 0.01172, -0.7341,
 15:04:53.982,d3:c7:8d:a5:a9:b5, 2015-01-01 00:05:34.705, -0.047, 0.01, 0.989, -0.916, 0.427, -0.061, 0.56, 2.834, -94.532, -42.042, -3.724, -23.422, 23.43, 0.67844, 0.02347, 0.01172, -0.7341,
 15:04:53.982,d3:c7:8d:a5:a9:b5, 2015-01-01 00:05:34.705, -0.047, 0.008, 0.988, -0.61, 0.549, 0, 0.555, 2.84, -94.526, -42.042, -3.724, -23.422, 23.43, 0.67844, 0.02347, 0.01172, -0.7341,
