Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:58:54.842,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.065, 0.028, -0.004, 1.01, -0.122, 0.305, 0, -0.192, -1.681, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.844,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.065, 0.028, -0.005, 1.01, 0, 0.305, 0, -0.192, -1.681, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.844,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.065, 0.029, -0.005, 1.01, 0, 0.305, 0, -0.192, -1.675, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.844,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.065, 0.029, -0.002, 1.01, 0, 0, 0, -0.192, -1.675, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.871,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.450, 0.032, -0.002, 1.01, 0, 0, 0, -0.192, -1.675, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.871,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.450, 0.032, -0.004, 1.01, 0, 0, 0, -0.192, -1.675, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.871,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.450, 0.029, -0.004, 1.01, 0, 0, 0, -0.192, -1.675, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.871,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.450, 0.029, -0.003, 1.01, 0, 0, 0, -0.192, -1.675, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.901,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.450, 0.03, -0.003, 1.01, 0, 0, 0, -0.192, -1.675, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.901,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.450, 0.03, -0.004, 1.011, 0, 0.122, 0, -0.192, -1.67, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.901,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.450, 0.026, -0.004, 1.011, 0, 0.122, 0, -0.192, -1.67, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.901,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.450, 0.026, -0.004, 1.009, 0, 0.122, 0, -0.192, -1.67, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
 14:58:54.961,d3:c7:8d:a5:a9:b5, 2015-01-01 00:03:45.450, 0.026, -0.004, 1.009, 0, 0.122, 0, -0.192, -1.67, -122.349, -8.330, -4.900, -14.798,, 0.48203, -0.01407, -0.00583, -0.87598,
