stroke_speed,mean_velocity,mean_acceleration,mean_jerk,NCV,NCA,path_efficiency,stroke_duration,mean_pressure,std_pressure,num_pressure_drops,label
0.03379175787485163,0.7261184536315611,0.0006289531201670623,0.0002181122106742011,1262.0,1569.0,0.22796633445846023,16231.0,905.860119047619,494.8374285275394,646.0,1.0
0.003409302028432343,1.2807166886149868,-0.00036924935624503205,0.0004074991887613515,483.0,724.0,0.27800210600464415,6701.0,775.6921296296297,565.2234293060393,198.0,0.0
0.014611071196955346,0.566561676181492,0.0006412557788490438,0.0001520452970033447,1540.0,1873.0,0.25239809619221465,18613.0,846.7697368421053,437.53319157287245,763.0,1.0
0.003437785393994851,0.9699128245468542,0.0685005098683722,0.06592893807883918,1032.0,1618.0,0.18349568457871385,20770.0,503.26789734353895,459.19950109107106,551.0,0.0
0.010940851228912097,0.6751836024443945,0.0009143644091293614,0.00022083937003020734,791.0,1170.0,0.20169096896316785,12356.0,992.0018495684341,500.994599294422,524.0,1.0
0.004718653268993378,0.004718653268993378,0.004718653268993378,0.004718653268993378,1387.0,1690.0,0.2576000768581575,19043.0,820.5873161764706,487.0377319801619,605.0,0.0
0.026352783492471554,1.7624752246748985,0.002002238153441027,0.0005192577698291108,2120.0,2218.0,0.04658174478940741,18151.0,814.7330298013245,203.0674997205165,1076.0,1.0
0.001467070909289765,0.001467070909289765,0.001467070909289765,0.001467070909289765,1889.0,2224.0,0.23992362804528666,36255.0,686.284746855853,541.0513509612041,556.0,0.0
0.019670422369685744,0.8041139456905514,0.0009704243420144734,0.00023439213689176403,5326.0,6938.0,0.020463791338969924,65076.0,564.8539797226431,246.1829909624747,3440.0,1.0
0.003480484688096656,0.003480484688096656,0.003480484688096656,0.003480484688096656,1608.0,1928.0,0.15999993364127293,19384.0,433.95502431118314,339.3034592477929,706.0,0.0
0.0037624598245049184,3.8026037364258585,0.006143313245397771,0.0011927463810763011,794.0,812.0,0.05933440231762927,6441.0,895.4417249417249,199.06548175987967,383.0,0.0
0.0027743353621687335,0.7252172888027045,0.009338089607642253,0.0031416712849472897,1938.0,2221.0,0.20837017860170073,26296.0,442.074047954866,257.8767984759679,947.0,0.0
0.022659869612570722,0.6979524063559505,0.008355341344359921,0.007554246286573155,919.0,1437.0,0.25167845032027913,15372.0,1123.3480040941658,483.58284536826574,731.0,0.0
0.014618772535244956,1.188473401981942,0.027988323783868754,0.014236037123515392,1205.0,1600.0,0.24558599258065217,15943.0,671.0789858605558,471.3376549541769,584.0,0.0
0.006759808249377132,0.9324132159704879,0.001173668490993031,0.00029936922072251027,527.0,683.0,0.36775695372778516,6587.0,525.4994040524434,481.2488226433257,156.0,0.0
0.002123536589721073,0.476306568544594,0.0077876971443169695,0.005946369526434857,1384.0,1669.0,0.2213531256789211,20151.0,261.0201252236136,197.04475478676818,549.0,0.0
0.0044272838750578835,0.7249126926669507,0.001659449366613241,0.0002603170826914819,634.0,892.0,0.2769302005248359,9456.0,433.56112576956906,298.10013146899166,368.0,1.0
0.006735404832083622,0.825134949080058,0.0009340772332701487,0.00022742798883547456,838.0,1013.0,0.21353364526398527,9906.0,525.3591549295775,379.07257116724344,344.0,0.0
0.018199743368829624,0.7517575431628007,0.000701068347534607,0.00019594433561605711,1062.0,1426.0,0.2405094020455448,13432.0,155.27793696275072,117.18041205004573,599.0,1.0
